center,area,orientation,poly,id
"(9.226972859491909, 48.48762953457056)",53.25592792779207,,"[(9.2269979, 48.4876768), (9.2270465, 48.4876391), (9.2269478, 48.4875823), (9.2268992, 48.4876199), (9.2269979, 48.4876768)]",baden-wuerttemberg-houses_0
"(9.219593161280356, 48.48907598514038)",41.85348992422223,,"[(9.219656, 48.4890708), (9.2196053, 48.4890345), (9.2195303, 48.4890811), (9.2195811, 48.4891175), (9.219656, 48.4890708)]",baden-wuerttemberg-houses_1
"(9.064025699999997, 48.51892115)",96.74053671304137,,"[(9.0639177, 48.5188971), (9.0641293, 48.5188897), (9.0641337, 48.5189452), (9.0639221, 48.5189526), (9.0639177, 48.5188971)]",baden-wuerttemberg-houses_2
"(9.464517250000002, 48.853061999999994)",183.56605118513107,,"[(9.4644583, 48.8531402), (9.4644158, 48.8530058), (9.4645762, 48.8529838), (9.4646187, 48.8531182), (9.4644583, 48.8531402)]",baden-wuerttemberg-houses_3
"(9.2228086, 48.86712915)",87.35698101297021,,"[(9.2227742, 48.8671878), (9.2228724, 48.867176), (9.222843, 48.8670705), (9.2227448, 48.8670823), (9.2227742, 48.8671878)]",baden-wuerttemberg-houses_4
"(9.200282116977387, 47.685356153143346)",103.67792296409607,,"[(9.2002757, 47.6852909), (9.2001887, 47.6853741), (9.2002886, 47.6854214), (9.2003755, 47.6853382), (9.2002757, 47.6852909)]",baden-wuerttemberg-houses_5
"(9.033465869020258, 48.86687447767322)",499.63141081109643,,"[(9.0335027, 48.8668162), (9.0337269, 48.8668459), (9.0336898, 48.8669672), (9.0334905, 48.8669409), (9.0332049, 48.8669031), (9.033242, 48.8667817), (9.0335027, 48.8668162)]",baden-wuerttemberg-houses_6
"(9.22108376695077, 48.871068266347294)",70.78410781524144,,"[(9.2211299, 48.8711161), (9.2211273, 48.8710194), (9.2210376, 48.8710204), (9.2210403, 48.8711172), (9.2211299, 48.8711161)]",baden-wuerttemberg-houses_7
"(9.15362635, 48.72353965)",71.80506660044193,,"[(9.1535539, 48.7235643), (9.1536649, 48.7235871), (9.1536988, 48.723515), (9.1535878, 48.7234922), (9.1535539, 48.7235643)]",baden-wuerttemberg-houses_8
"(9.150324705387243, 48.72674096675628)",124.3356226310134,,"[(9.150302, 48.7268108), (9.1504329, 48.7267428), (9.1503474, 48.7266711), (9.1502165, 48.7267392), (9.150302, 48.7268108)]",baden-wuerttemberg-houses_9
