center,area,orientation,poly,id
"(11.450726750000003, 48.813933999999996)",127.16729239979759,,"[(11.4507853, 48.8140027), (11.4506736, 48.8140046), (11.4506682, 48.8138653), (11.4507799, 48.8138634), (11.4507853, 48.8140027)]",bayern-houses_0
"(11.0317687, 49.65815725)",126.6650049877353,,"[(11.0318859, 49.6581195), (11.0316447, 49.6581299), (11.0316515, 49.658195), (11.0318927, 49.6581846), (11.0318859, 49.6581195)]",bayern-houses_1
"(10.888361322116848, 49.88833312511328)",73.11031884327531,,"[(10.8883159, 49.8882707), (10.8884389, 49.8883322), (10.8883766, 49.888404), (10.8883252, 49.8883673), (10.8883515, 49.8883369), (10.8882724, 49.8882974), (10.8883159, 49.8882707)]",bayern-houses_2
"(10.92608255, 49.89289990000001)",95.76052211970091,,"[(10.9261155, 49.8929618), (10.9260102, 49.8929458), (10.9260496, 49.892838), (10.9261549, 49.892854), (10.9261155, 49.8929618)]",bayern-houses_3
"(11.476596821739841, 48.91903356013125)",134.5396946594119,,"[(11.4766142, 48.9189542), (11.4765042, 48.9189814), (11.4765795, 48.9191129), (11.4766894, 48.9190858), (11.4766142, 48.9189542)]",bayern-houses_4
"(11.71087466266877, 48.16871030334019)",62.08341526519507,,"[(11.7109602, 48.1687062), (11.7108149, 48.1686693), (11.7107891, 48.1687144), (11.7109344, 48.1687513), (11.7109463, 48.1687306), (11.7109602, 48.1687062)]",bayern-houses_5
"(11.220944234149686, 48.18367232865105)",63.04954915307462,,"[(11.220893, 48.1837111), (11.221015, 48.1836932), (11.2209955, 48.1836336), (11.2208735, 48.1836514), (11.220893, 48.1837111)]",bayern-houses_6
"(11.032095500000002, 49.65657345)",127.46983355656266,,"[(11.0321489, 49.6565079), (11.0320196, 49.656518), (11.0320421, 49.656639), (11.0321714, 49.6566289), (11.0321489, 49.6565079)]",bayern-houses_7
"(11.241847944604125, 49.35515894291532)",194.5692687286064,,"[(11.2417149, 49.3551959), (11.2418516, 49.3552189), (11.2418625, 49.3551915), (11.2420013, 49.355215), (11.2420215, 49.3551644), (11.2418798, 49.3551405), (11.2418943, 49.355104), (11.2417604, 49.3550814), (11.2417149, 49.3551959)]",bayern-houses_8
"(10.883173025930406, 49.88620478651568)",63.8573974519968,,"[(10.88309, 49.8862086), (10.8831286, 49.8861737), (10.8831466, 49.8861575), (10.8832571, 49.8862024), (10.8831964, 49.8862523), (10.8831539, 49.8862332), (10.88309, 49.8862086)]",bayern-houses_9
"(11.053570799981411, 49.468860616928104)",73.64859731588513,across,"[(11.0534898, 49.4688808), (11.0535126, 49.4688187), (11.0536519, 49.4688405), (11.0536462, 49.4688558), (11.053629, 49.4689025), (11.0534898, 49.4688808)]",bayern-houses_10
"(11.436603856635783, 49.51118856545763)",120.58956233318895,,"[(11.4365283, 49.5112541), (11.4365426, 49.5111611), (11.436579, 49.5111634), (11.4365863, 49.5111162), (11.4366872, 49.5111227), (11.4366788, 49.5111771), (11.4366472, 49.5111751), (11.436634, 49.5112609), (11.4365283, 49.5112541)]",bayern-houses_11
"(11.590505426909655, 48.509732856952205)",401.3606960452162,,"[(11.5903538, 48.5098113), (11.5903899, 48.5098069), (11.5904034, 48.5098553), (11.590487, 48.5098451), (11.5904739, 48.5097981), (11.5905706, 48.5097863), (11.5905629, 48.5097587), (11.5907456, 48.5097363), (11.5907236, 48.5096575), (11.5905598, 48.5096776), (11.5905527, 48.5096523), (11.5903175, 48.5096811), (11.5903538, 48.5098113)]",bayern-houses_12
"(11.702204621126514, 48.048379411216914)",763.4659653245544,,"[(11.7020344, 48.0485694), (11.7020514, 48.0485697), (11.7021971, 48.0485715), (11.7022099, 48.0484217), (11.702294, 48.0484306), (11.7022925, 48.048437), (11.7024114, 48.0484496), (11.7024115, 48.0484494), (11.702446, 48.0483036), (11.7022975, 48.0482879), (11.7023117, 48.0482277), (11.7021191, 48.0482073), (11.7021049, 48.0482675), (11.7020719, 48.048264), (11.7020388, 48.0484036), (11.7020452, 48.0484042), (11.7020344, 48.0485694)]",bayern-houses_13
"(9.652914966664692, 49.96171210063446)",230.63555859029293,SW,"[(9.6529147, 49.9618086), (9.6530647, 49.9617064), (9.6529153, 49.9616156), (9.6527652, 49.9617178), (9.6529147, 49.9618086)]",bayern-houses_14
"(11.23071884308595, 48.16742214215125)",457.952694253996,,"[(11.2307067, 48.1675801), (11.2308815, 48.1675326), (11.2307842, 48.1673734), (11.2308121, 48.1673658), (11.2307529, 48.1672688), (11.2305502, 48.1673239), (11.2307067, 48.1675801)]",bayern-houses_15
"(12.162461891990011, 48.27160831460013)",148.17132879188284,,"[(12.1625554, 48.2715611), (12.1623805, 48.2715532), (12.1623704, 48.2716522), (12.1624056, 48.2716537), (12.1624045, 48.2716645), (12.1624569, 48.2716669), (12.162458, 48.2716561), (12.1625453, 48.27166), (12.1625554, 48.2715611)]",bayern-houses_16
"(12.69215642581337, 48.676727814957694)",213.72813322005095,,"[(12.6922098, 48.6768151), (12.6922975, 48.6767141), (12.6921031, 48.6766405), (12.6920162, 48.6767406), (12.6920154, 48.6767416), (12.6922098, 48.6768151)]",bayern-houses_17
"(11.157305075118067, 49.5267498477402)",123.3716882308945,,"[(11.157343, 49.5266915), (11.1573381, 49.5266751), (11.1572359, 49.526688), (11.1572548, 49.5267509), (11.1572403, 49.5267528), (11.1572606, 49.5268205), (11.1573822, 49.5268051), (11.1573637, 49.5267435), (11.157343, 49.5266915)]",bayern-houses_18
"(11.6838828, 48.223133950000005)",112.83956757560372,,"[(11.6839189, 48.2232018), (11.6838107, 48.2231876), (11.6838467, 48.2230661), (11.6839549, 48.2230803), (11.6839189, 48.2232018)]",bayern-houses_19
