center,area,orientation,poly,id
"(13.252939026300657, 52.50694859450952)",183.72310875169933,,"[(13.2528357, 52.5070075), (13.2530261, 52.5070166), (13.2530424, 52.5068897), (13.2528519, 52.5068806), (13.2528357, 52.5070075)]",berlin-houses_0
"(13.4388454713169, 52.412768605392394)",93.8297755997628,,"[(13.4389004, 52.4128203), (13.4387679, 52.4128083), (13.4387903, 52.412717), (13.4389232, 52.4127289), (13.4389004, 52.4128203)]",berlin-houses_1
"(13.249535593979608, 52.50674532329934)",295.59150058962405,,"[(13.2496354, 52.5066354), (13.2496064, 52.5068633), (13.2494358, 52.5068553), (13.2494648, 52.5066273), (13.2496354, 52.5066354)]",berlin-houses_2
"(13.12809436766018, 52.521473973608884)",152.71712176781148,,"[(13.1279842, 52.5214307), (13.1279971, 52.5215275), (13.1282045, 52.5215173), (13.1281916, 52.5214204), (13.1279842, 52.5214307)]",berlin-houses_3
"(13.325738615281868, 52.417334926394346)",95.01517368201166,,"[(13.3257667, 52.4173921), (13.3257094, 52.4173687), (13.3256956, 52.4173807), (13.3256614, 52.4173663), (13.3256732, 52.4173556), (13.3256424, 52.417343), (13.3257177, 52.4172749), (13.3257467, 52.4172863), (13.3258122, 52.4173128), (13.3258386, 52.4173237), (13.3257667, 52.4173921)]",berlin-houses_4
"(13.589497027259016, 52.46844724751088)",115.1911281812936,,"[(13.5893849, 52.4684411), (13.5894737, 52.4685043), (13.5894967, 52.4684923), (13.5895206, 52.4685093), (13.5895877, 52.4684742), (13.5895707, 52.4684622), (13.5895992, 52.4684473), (13.5895034, 52.468379), (13.5893849, 52.4684411)]",berlin-houses_5
"(13.406305354728982, 52.41139537682934)",111.64041367918253,,"[(13.4062102, 52.4114299), (13.4062639, 52.411333), (13.4064005, 52.4113608), (13.4063472, 52.4114574), (13.4063426, 52.4114567), (13.4062299, 52.4114341), (13.4062102, 52.4114299)]",berlin-houses_6
"(13.36121659713222, 52.554516190626934)",187.64883172651753,,"[(13.3611315, 52.5545786), (13.361121, 52.5545776), (13.3611358, 52.5544954), (13.3611118, 52.5544824), (13.3611187, 52.5544756), (13.361126, 52.5544424), (13.3613206, 52.5544574), (13.3613067, 52.5545239), (13.3612919, 52.5545948), (13.3611315, 52.5545786)]",berlin-houses_7
"(13.133818527265193, 52.54400745558938)",82.99896110035479,,"[(13.1337659, 52.5440559), (13.1338907, 52.5440455), (13.1338711, 52.543959), (13.1337464, 52.5439694), (13.1337659, 52.5440559)]",berlin-houses_8
"(13.575837433744889, 52.40793675125472)",56.738405004143715,,"[(13.575759, 52.4079438), (13.5758393, 52.4079846), (13.5759151, 52.4079297), (13.5758371, 52.4078888), (13.575759, 52.4079438)]",berlin-houses_9
"(13.551367606386215, 52.52079463251217)",144.03282502666116,,"[(13.5513005, 52.5208578), (13.5512384, 52.5207832), (13.5514269, 52.5207249), (13.5514889, 52.5207994), (13.5514313, 52.5208173), (13.5514509, 52.5208408), (13.5514035, 52.5208554), (13.5513839, 52.5208319), (13.5513005, 52.5208578)]",berlin-houses_10
"(13.39565848988659, 52.58704277391293)",43.331207267940044,,"[(13.3956145, 52.5870821), (13.3956367, 52.586997), (13.3957029, 52.5870036), (13.3956797, 52.5870888), (13.3956145, 52.5870821)]",berlin-houses_11
"(13.325276755172403, 52.57830482678783)",65.19593764364254,across,"[(13.3251921, 52.5783288), (13.3251957, 52.5782767), (13.3253613, 52.5782809), (13.3253614, 52.5782814), (13.3253579, 52.5783329), (13.3251921, 52.5783288)]",berlin-houses_12
