center,area,orientation,poly,id
"(9.940994957528522, 53.60294624037824)",119.96180875506252,,"[(9.940864, 53.6029678), (9.9408858, 53.6029056), (9.9410178, 53.6029219), (9.9410252, 53.6029006), (9.9411139, 53.6029115), (9.9410846, 53.602995), (9.940864, 53.6029678)]",hamburg-houses_0
"(10.075449684300803, 53.60528527673156)",70.5744893187657,,"[(10.0753884, 53.6053246), (10.0753761, 53.6052543), (10.075511, 53.605246), (10.0755233, 53.6053162), (10.0753884, 53.6053246)]",hamburg-houses_1
"(10.156299604182639, 53.61265359385815)",105.83373690582812,,"[(10.1562068, 53.6126932), (10.1562474, 53.6125976), (10.1564001, 53.6126203), (10.1563745, 53.6126808), (10.1563436, 53.6126761), (10.1563286, 53.6127113), (10.1562068, 53.6126932)]",hamburg-houses_2
"(9.967992949999996, 53.44175479999999)",120.07789612561464,,"[(9.9679192, 53.4418122), (9.9678758, 53.4417359), (9.9680667, 53.4416974), (9.9681101, 53.4417737), (9.9679192, 53.4418122)]",hamburg-houses_3
"(10.0849601, 53.6204327)",86.19545449782163,,"[(10.0850161, 53.6204836), (10.0848986, 53.6204813), (10.0849041, 53.6203818), (10.0850216, 53.6203841), (10.0850161, 53.6204836)]",hamburg-houses_4
"(10.012555376693806, 53.60844192055393)",126.51575233234325,,"[(10.0124562, 53.6084697), (10.0124636, 53.6084293), (10.0124459, 53.6084281), (10.0124528, 53.6083902), (10.0124706, 53.6083914), (10.0124714, 53.6083869), (10.0126106, 53.6083959), (10.0126025, 53.6084396), (10.0126886, 53.6084452), (10.0126803, 53.6084904), (10.0125939, 53.6084848), (10.012595, 53.6084787), (10.0125645, 53.6084767), (10.0125613, 53.6084939), (10.01251, 53.6084906), (10.0125132, 53.6084734), (10.0124562, 53.6084697)]",hamburg-houses_5
"(10.13178075, 53.634276400000005)",59.723224222660065,,"[(10.1317097, 53.6343027), (10.1317535, 53.6342294), (10.1318518, 53.6342501), (10.131808, 53.6343234), (10.1317097, 53.6343027)]",hamburg-houses_6
"(10.16217503951722, 53.60170828347579)",158.56560322642326,,"[(10.1621459, 53.6016292), (10.1620387, 53.6017074), (10.1622041, 53.6017874), (10.1623114, 53.6017091), (10.1621459, 53.6016292)]",hamburg-houses_7
"(10.127258452314258, 53.637500082955974)",99.7516081109643,,"[(10.1271545, 53.637517), (10.1272494, 53.6374364), (10.1273624, 53.6374831), (10.1272675, 53.6375638), (10.1271545, 53.637517)]",hamburg-houses_8
"(10.087202300000003, 53.68497870000001)",80.49013958126307,,"[(10.0871501, 53.6850285), (10.0871402, 53.6849331), (10.0872545, 53.6849289), (10.0872644, 53.6850243), (10.0871501, 53.6850285)]",hamburg-houses_9
