center,area,orientation,poly,id
"(7.743133787413398, 52.742351770620274)",305.3806121572852,,"[(7.743001, 52.7423163), (7.7430491, 52.7423624), (7.742971, 52.7423964), (7.7430527, 52.7424707), (7.7432571, 52.7423897), (7.7432164, 52.7423509), (7.7433015, 52.7423181), (7.7432134, 52.7422343), (7.743001, 52.7423163)]",niedersachsen-houses_0
"(8.81396596291777, 53.050137086585494)",45.49239433556795,,"[(8.8139577, 53.0501812), (8.8138947, 53.0501484), (8.8139743, 53.050093), (8.8140372, 53.0501257), (8.8139577, 53.0501812)]",niedersachsen-houses_1
"(8.2134236, 53.09564265)",132.07770392298698,,"[(8.213455, 53.0957164), (8.2135488, 53.0956546), (8.2133922, 53.0955689), (8.2132984, 53.0956307), (8.213455, 53.0957164)]",niedersachsen-houses_2
"(7.7423748, 53.596063949999994)",103.40916377678514,,"[(7.7424486, 53.5960135), (7.7423221, 53.5960049), (7.742301, 53.5961144), (7.7424275, 53.596123), (7.7424486, 53.5960135)]",niedersachsen-houses_3
"(10.389661979312491, 53.252711096451605)",266.2206382539007,,"[(10.3895091, 53.2526779), (10.389476, 53.2527657), (10.3896258, 53.2527875), (10.3896962, 53.2527667), (10.389809, 53.2527318), (10.3898339, 53.2526395), (10.3897045, 53.2526286), (10.3897038, 53.2526414), (10.3895725, 53.2526863), (10.3895091, 53.2526779)]",niedersachsen-houses_4
"(7.711230091368829, 53.5953411899945)",144.10861610993743,,"[(7.7111974, 53.5953409), (7.7110971, 53.5953382), (7.7110922, 53.5954021), (7.7111858, 53.5954046), (7.7111884, 53.5953716), (7.7113386, 53.5953758), (7.7113459, 53.595283), (7.7112023, 53.595279), (7.7111974, 53.5953409)]",niedersachsen-houses_5
"(8.481485299858047, 52.61265344819898)",159.2987770875916,,"[(8.4815833, 52.6127087), (8.4815963, 52.6126082), (8.4813873, 52.6125982), (8.4813743, 52.6126987), (8.4815103, 52.6127052), (8.4815833, 52.6127087)]",niedersachsen-houses_6
"(7.749221678992031, 52.74330088875929)",262.16560082510114,,"[(7.749032, 52.7433255), (7.7491699, 52.7433778), (7.7492241, 52.7433254), (7.7493489, 52.7433727), (7.7494235, 52.7433006), (7.7492162, 52.743222), (7.7491954, 52.7432422), (7.7491399, 52.7432211), (7.749032, 52.7433255)]",niedersachsen-houses_7
"(8.71854905, 53.150376699999995)",95.75105109065771,along,"[(8.7184446, 53.1503784), (8.7185269, 53.1503155), (8.7186535, 53.150375), (8.7185712, 53.1504379), (8.7184446, 53.1503784)]",niedersachsen-houses_8
"(8.758827349999999, 53.12013435)",63.06592498719692,across,"[(8.7587437, 53.1201174), (8.7588172, 53.1200817), (8.758911, 53.1201513), (8.7588375, 53.120187), (8.7587437, 53.1201174)]",niedersachsen-houses_9
"(9.669483071378014, 53.17286542860279)",156.21499169245362,,"[(9.6694188, 53.1729431), (9.6694973, 53.172902), (9.6695153, 53.1729144), (9.6696219, 53.1728586), (9.6695133, 53.1727841), (9.6694144, 53.1728358), (9.6694298, 53.1728464), (9.6693437, 53.1728915), (9.6694188, 53.1729431)]",niedersachsen-houses_10
"(8.756947285412766, 53.11647709332728)",64.10795835405588,,"[(8.7569293, 53.1165347), (8.7568633, 53.116507), (8.7569652, 53.1164195), (8.7570313, 53.1164472), (8.7569293, 53.1165347)]",niedersachsen-houses_11
"(7.789434223780398, 53.64363271957231)",1000.3546469606226,,"[(7.7892212, 53.6434297), (7.789106, 53.6434258), (7.7890924, 53.6435694), (7.7891292, 53.6435707), (7.7891142, 53.6437295), (7.7896016, 53.6437457), (7.789642, 53.643715), (7.7898595, 53.6437222), (7.7898715, 53.6435952), (7.7896535, 53.643588), (7.7896553, 53.6435689), (7.7892095, 53.6435541), (7.7892212, 53.6434297)]",niedersachsen-houses_12
