center,area,orientation,poly,id
"(11.72764048939234, 48.11425660236573)",2884.966466717422,False,"[(11.7272223, 48.1144978), (11.7273687, 48.1144678), (11.7273909, 48.1145163), (11.7280163, 48.1143883), (11.7279674, 48.1142816), (11.7281206, 48.1142503), (11.7281816, 48.1142651), (11.7280377, 48.113942), (11.7279397, 48.1140127), (11.7271174, 48.1141809), (11.7271818, 48.1143212), (11.7271448, 48.1143287), (11.7272223, 48.1144978)]",oberbayern-houses_0
"(11.74489725, 48.1722492)",113.51148445531726,,"[(11.7448516, 48.1721886), (11.7448115, 48.1722857), (11.7449429, 48.1723098), (11.744983, 48.1722127), (11.7448516, 48.1721886)]",oberbayern-houses_1
"(11.7447153, 48.172217399999994)",114.40086528286338,True,"[(11.7448016, 48.1721812), (11.7447638, 48.1722772), (11.744629, 48.1722536), (11.7446668, 48.1721576), (11.7448016, 48.1721812)]",oberbayern-houses_2
"(11.744531120875791, 48.172185255436986)",106.83850234374404,False,"[(11.7446137, 48.1721492), (11.7445764, 48.1722437), (11.7444485, 48.1722213), (11.7444859, 48.1721268), (11.7446137, 48.1721492)]",oberbayern-houses_3
"(11.744352899999997, 48.17213925)",138.03162652254105,True,"[(11.7444482, 48.1721), (11.7444049, 48.1722054), (11.7442576, 48.1721785), (11.7443009, 48.1720731), (11.7444482, 48.1721)]",oberbayern-houses_4
"(11.744569520595709, 48.17184165366818)",235.21948417276144,False,"[(11.7444837, 48.1717615), (11.7447051, 48.1718026), (11.7446554, 48.1719218), (11.7444339, 48.1718807), (11.7444837, 48.1717615)]",oberbayern-houses_5
"(11.744877549999998, 48.171932000000005)",192.67922698706388,True,"[(11.74479, 48.1718632), (11.7447529, 48.1719671), (11.7449651, 48.1720008), (11.7450022, 48.1718969), (11.74479, 48.1718632)]",oberbayern-houses_6
"(11.744871093882166, 48.1716586199443)",161.46044058725238,,"[(11.7448345, 48.1715785), (11.7447732, 48.1717111), (11.7449077, 48.1717387), (11.744969, 48.1716062), (11.7448345, 48.1715785)]",oberbayern-houses_7
"(11.7446189, 48.1715771)",198.73566059023145,,"[(11.7447282, 48.1715225), (11.7445682, 48.1714925), (11.7445096, 48.1716317), (11.7446696, 48.1716617), (11.7447282, 48.1715225)]",oberbayern-houses_8
"(11.745147999999999, 48.17173845000001)",164.10965131223202,,"[(11.7450988, 48.1716611), (11.7452396, 48.1716808), (11.7451972, 48.1718158), (11.7450564, 48.1717961), (11.7450988, 48.1716611)]",oberbayern-houses_9
