center,area,orientation,poly,id
"(8.253306100000001, 49.9791609)",88.08984574303031,,"[(8.2532338, 49.9791987), (8.2533525, 49.979213), (8.2533784, 49.9791231), (8.2532597, 49.9791088), (8.2532338, 49.9791987)]",rheinland-pfalz-houses_0
"(8.39943915, 49.2699905)",81.70094706118107,,"[(8.3993591, 49.2700182), (8.3994523, 49.270049), (8.3995192, 49.2699628), (8.399426, 49.269932), (8.3993591, 49.2700182)]",rheinland-pfalz-houses_1
"(8.21788565, 50.0050379)",81.33502894639969,,"[(8.2178516, 50.004985), (8.2179679, 50.0050159), (8.2179197, 50.0050908), (8.2178034, 50.0050599), (8.2178516, 50.004985)]",rheinland-pfalz-houses_2
"(7.667155550000001, 50.622921250000005)",170.85037826746702,,"[(7.6671207, 50.6230059), (7.6672603, 50.6229782), (7.6671904, 50.6228366), (7.6670508, 50.6228643), (7.6671207, 50.6230059)]",rheinland-pfalz-houses_3
"(6.46521682549627, 49.890867153962766)",179.77794895367697,,"[(6.4653277, 49.8909169), (6.4653231, 49.8908134), (6.465106, 49.8908174), (6.4651105, 49.8909209), (6.4653277, 49.8909169)]",rheinland-pfalz-houses_4
"(8.120780669219096, 49.247032360257485)",112.02486839145422,,"[(8.1207027, 49.247089), (8.120762, 49.2469572), (8.1208586, 49.2469757), (8.1207994, 49.2471075), (8.1207027, 49.247089)]",rheinland-pfalz-houses_5
"(6.737034749999999, 49.977641899999995)",156.68539678677917,,"[(6.7369778, 49.9777143), (6.7369427, 49.9775865), (6.7370917, 49.9775695), (6.7371268, 49.9776973), (6.7369778, 49.9777143)]",rheinland-pfalz-houses_6
"(8.2524247, 49.98014384999999)",106.00150069594383,,"[(8.252321, 49.9801335), (8.2524456, 49.98021), (8.2525284, 49.9801542), (8.2524038, 49.9800777), (8.252321, 49.9801335)]",rheinland-pfalz-houses_7
"(8.132165659127168, 49.12036777192218)",131.53639197349548,,"[(8.1321133, 49.1204332), (8.1322504, 49.1204166), (8.132218, 49.1203023), (8.1320809, 49.120319), (8.1321133, 49.1204332)]",rheinland-pfalz-houses_8
"(8.119436518112487, 49.27595735472425)",115.10320601891726,,"[(8.1193689, 49.2759359), (8.1193773, 49.2759012), (8.1195193, 49.2759158), (8.1194958, 49.2760135), (8.1193537, 49.2759989), (8.1193689, 49.2759359)]",rheinland-pfalz-houses_9
"(8.0835153, 49.267767899999996)",76.86464230157435,,"[(8.0834514, 49.2678055), (8.0834468, 49.2677339), (8.0835792, 49.2677303), (8.0835838, 49.2678019), (8.0834514, 49.2678055)]",rheinland-pfalz-houses_10
"(8.375458712873723, 49.422908541180696)",93.29817543248646,,"[(8.3755063, 49.4229654), (8.3755156, 49.4228553), (8.3754105, 49.4228515), (8.3754058, 49.4229199), (8.3754023, 49.4229624), (8.3755063, 49.4229654)]",rheinland-pfalz-houses_11
"(8.085057222321048, 49.26765638975094)",96.20939356274903,,"[(8.0850215, 49.2677212), (8.0851178, 49.2677128), (8.085093, 49.2675916), (8.0849966, 49.2676), (8.0850215, 49.2677212)]",rheinland-pfalz-houses_12
"(8.374888499999999, 49.42285745)",109.30962898849975,,"[(8.3747982, 49.4228202), (8.3747989, 49.4228955), (8.3749788, 49.4228947), (8.3749781, 49.4228194), (8.3747982, 49.4228202)]",rheinland-pfalz-houses_13
"(7.949896099999999, 50.459793349999984)",151.0605395436287,,"[(7.9497783, 50.459835), (7.9499082, 50.4597079), (7.9500139, 50.4597517), (7.949884, 50.4598788), (7.9497783, 50.459835)]",rheinland-pfalz-houses_14
"(7.626627994581588, 50.27558456597434)",87.30841420590878,,"[(7.6266469, 50.2756451), (7.6267227, 50.2755967), (7.6266091, 50.275524), (7.6265333, 50.2755725), (7.6266469, 50.2756451)]",rheinland-pfalz-houses_15
"(6.553248623564919, 49.67971996035623)",184.3230788288638,,"[(6.5533433, 49.6797282), (6.5533912, 49.6797029), (6.5533028, 49.6796329), (6.553236, 49.6796683), (6.5531094, 49.6797353), (6.5531061, 49.6797371), (6.5531944, 49.679807), (6.5533433, 49.6797282)]",rheinland-pfalz-houses_16
"(8.339282608425307, 49.91212832481561)",97.51129531383049,,"[(8.3392262, 49.9120738), (8.3393373, 49.912073), (8.339339, 49.9121829), (8.3392279, 49.9121836), (8.3392262, 49.9120738)]",rheinland-pfalz-houses_17
"(6.780293437598698, 49.7766153812758)",181.36794621590525,,"[(6.780196, 49.7766869), (6.7802436, 49.7765335), (6.7803945, 49.7765527), (6.7803571, 49.776675), (6.7803162, 49.7766702), (6.7803067, 49.7766983), (6.780196, 49.7766869)]",rheinland-pfalz-houses_18
"(6.51877945286408, 50.022462551902514)",132.55512329982594,,"[(6.5187532, 50.0223904), (6.5186762, 50.0224955), (6.5188057, 50.0225347), (6.5188096, 50.0225294), (6.5188827, 50.0224296), (6.5187532, 50.0223904)]",rheinland-pfalz-houses_19
