center,area,orientation,poly,id
"(11.780758468760094, 51.97880374562889)",82.71960312500596,,"[(11.7808433, 51.9788292), (11.7807852, 51.978748), (11.7806736, 51.9787783), (11.7807318, 51.9788595), (11.7808433, 51.9788292)]",sachsen-anhalt-houses_0
"(11.726080598875468, 52.16797683909223)",104.24405508756172,,"[(11.7261009, 52.1680467), (11.7261053, 52.1680215), (11.726146, 52.1680252), (11.7261521, 52.1679974), (11.7261245, 52.1679946), (11.7261362, 52.167939), (11.7261249, 52.1679381), (11.7261306, 52.1679086), (11.7260464, 52.167902), (11.7260177, 52.1680316), (11.7260161, 52.1680397), (11.7260881, 52.1680459), (11.7261009, 52.1680467)]",sachsen-anhalt-houses_1
"(11.459406462264278, 52.52542478875171)",459.33414533082396,,"[(11.4592513, 52.5253325), (11.4592333, 52.5255639), (11.4593686, 52.5255678), (11.4593777, 52.5254518), (11.4596321, 52.5254591), (11.4596411, 52.5253437), (11.4592513, 52.5253325)]",sachsen-anhalt-houses_2
"(12.656030976754018, 51.873206871871666)",124.85543742007576,,"[(12.6560328, 51.873169), (12.6561403, 51.873171), (12.6561367, 51.8732467), (12.6560292, 51.8732447), (12.6559217, 51.8732428), (12.6559252, 51.8731671), (12.6560328, 51.873169)]",sachsen-anhalt-houses_3
"(12.212207200000002, 51.351083900000006)",71.49776926962659,,"[(12.2122767, 51.3510517), (12.2121449, 51.3510464), (12.2121377, 51.3511161), (12.2122695, 51.3511214), (12.2122767, 51.3510517)]",sachsen-anhalt-houses_4
"(11.594605825609591, 52.102344292801654)",91.34202158264816,,"[(11.5945385, 52.1023962), (11.5946911, 52.1023718), (11.5946559, 52.1022887), (11.5945431, 52.1023067), (11.5945587, 52.1023435), (11.5945188, 52.1023499), (11.5945385, 52.1023962)]",sachsen-anhalt-houses_5
"(11.783812058109902, 52.10796510524383)",138.63016921444796,,"[(11.7837566, 52.1080306), (11.7838111, 52.1080127), (11.7838216, 52.1080247), (11.7838702, 52.1080088), (11.7838597, 52.1079968), (11.7839322, 52.107973), (11.7838663, 52.1078972), (11.7838137, 52.1079144), (11.7838105, 52.1079107), (11.7837428, 52.1079329), (11.783746, 52.1079366), (11.7836907, 52.1079548), (11.7837566, 52.1080306)]",sachsen-anhalt-houses_6
"(11.5658742201838, 51.60322720334686)",64.9222843721509,,"[(11.5657874, 51.6032428), (11.5658114, 51.6031896), (11.5659602, 51.603212), (11.5659392, 51.6032643), (11.5657874, 51.6032428)]",sachsen-anhalt-houses_7
"(12.027658750000002, 51.47388315)",86.2943379804492,across,"[(12.0277137, 51.4739382), (12.0276165, 51.4739424), (12.0276038, 51.4738281), (12.027701, 51.4738239), (12.0277137, 51.4739382)]",sachsen-anhalt-houses_8
"(11.989391239471686, 51.38384742121624)",235.0045362189412,,"[(11.9892627, 51.383903), (11.9894658, 51.3839332), (11.9895198, 51.3837919), (11.9893167, 51.3837616), (11.9892627, 51.383903)]",sachsen-anhalt-houses_9
"(12.215087596517082, 51.840541883070095)",86.09156397730112,,"[(12.2151, 51.8404835), (12.2151822, 51.840549), (12.2150752, 51.8406003), (12.214993, 51.8405347), (12.2151, 51.8404835)]",sachsen-anhalt-houses_10
"(12.653823210467635, 51.87290940059094)",503.4567352067679,,"[(12.653583, 51.8728099), (12.6537524, 51.8728137), (12.6537493, 51.8728658), (12.6541215, 51.8728742), (12.6541152, 51.8729791), (12.6535737, 51.8729668), (12.653583, 51.8728099)]",sachsen-anhalt-houses_11
"(11.545120310773497, 51.313949027086494)",114.43571134563535,,"[(11.5451263, 51.3138796), (11.5449931, 51.3139936), (11.5450394, 51.3140148), (11.5450945, 51.3139676), (11.5451471, 51.3139916), (11.5451606, 51.31398), (11.5451888, 51.3139929), (11.5452249, 51.313962), (11.5451948, 51.3139483), (11.5452233, 51.3139239), (11.5451263, 51.3138796)]",sachsen-anhalt-houses_12
"(11.980423850000003, 51.47268834999999)",60.759875779855065,,"[(11.9804768, 51.4727254), (11.9803703, 51.4727251), (11.9803709, 51.4726513), (11.9804774, 51.4726516), (11.9804768, 51.4727254)]",sachsen-anhalt-houses_13
"(11.685492587827051, 51.74510861585682)",122.72614801675081,,"[(11.6855408, 51.7451778), (11.6856136, 51.7451167), (11.6854444, 51.7450394), (11.6853716, 51.7451006), (11.6855408, 51.7451778)]",sachsen-anhalt-houses_14
"(11.994179629239051, 51.50295691615843)",99.51355740055442,across,"[(11.9942807, 51.5029695), (11.9942224, 51.5028985), (11.9940785, 51.5029444), (11.9941369, 51.5030153), (11.9942807, 51.5029695)]",sachsen-anhalt-houses_15
"(11.98303538104209, 51.49407377510661)",48.17742015677504,,"[(11.9829756, 51.4940478), (11.9829761, 51.4941002), (11.9830952, 51.4940997), (11.9830947, 51.4940474), (11.9829756, 51.4940478)]",sachsen-anhalt-houses_16
"(11.960912449999999, 51.462058299999995)",65.4618208212778,across,"[(11.9609884, 51.4620836), (11.9609801, 51.4620251), (11.9608365, 51.462033), (11.9608448, 51.4620915), (11.9609884, 51.4620836)]",sachsen-anhalt-houses_17
"(10.664048574425626, 51.90229295242467)",64.8066390468739,,"[(10.6639624, 51.9023164), (10.6641326, 51.9023192), (10.6641347, 51.9022695), (10.6639646, 51.9022667), (10.6639624, 51.9023164)]",sachsen-anhalt-houses_18
"(11.98673246508401, 51.38686006206392)",225.49011057941243,,"[(11.9866536, 51.3869293), (11.9866509, 51.3869431), (11.9867897, 51.3869535), (11.9867958, 51.3869221), (11.9868216, 51.3869241), (11.9868295, 51.3868833), (11.9868004, 51.3868811), (11.9868221, 51.3867687), (11.9866803, 51.386758), (11.9866548, 51.3868903), (11.9866204, 51.3868877), (11.986613, 51.3869262), (11.9866536, 51.3869293)]",sachsen-anhalt-houses_19
"(12.051932186948841, 52.54421334153997)",84.17610200308263,,"[(12.0518715, 52.5442591), (12.0520222, 52.5442364), (12.0519936, 52.5441662), (12.0519039, 52.5441817), (12.0518395, 52.5441926), (12.0518715, 52.5442591)]",sachsen-anhalt-houses_20
"(10.957709927331539, 51.56828037642787)",62.59111703932285,,"[(10.9576316, 51.5682583), (10.9576418, 51.568313), (10.9577772, 51.5683032), (10.9577883, 51.5683024), (10.9577781, 51.5682478), (10.9576316, 51.5682583)]",sachsen-anhalt-houses_21
"(10.87072275, 52.79070075)",187.94935647025704,,"[(10.8705803, 52.7906659), (10.8706037, 52.7907595), (10.8708652, 52.7907356), (10.8708418, 52.790642), (10.8705803, 52.7906659)]",sachsen-anhalt-houses_22
"(11.955855812682461, 51.46365348064929)",51.955407499335706,across,"[(11.9559238, 51.4636758), (11.955917, 51.4636239), (11.9557874, 51.4636316), (11.9557944, 51.4636827), (11.9559238, 51.4636758)]",sachsen-anhalt-houses_23
"(10.956981034272212, 51.570929649105395)",68.56304514734074,,"[(10.9568929, 51.5709476), (10.9570541, 51.5709652), (10.9570651, 51.570926), (10.9570692, 51.5709117), (10.956908, 51.5708941), (10.9568929, 51.5709476)]",sachsen-anhalt-houses_24
"(11.458659869879313, 52.5265312743804)",105.61432379018515,,"[(11.4585663, 52.526495), (11.4585707, 52.5265714), (11.4587534, 52.5265676), (11.458749, 52.5264911), (11.4585663, 52.526495)]",sachsen-anhalt-houses_25
