center,area,orientation,poly,id
"(11.08098697805412, 50.464665765114944)",97.54842221579747,,"[(11.0809183, 50.4647149), (11.0810448, 50.464716), (11.0810473, 50.4646046), (11.0809865, 50.464604), (11.0809859, 50.4646306), (11.0809203, 50.46463), (11.0809183, 50.4647149)]",thueringen-houses_0
"(11.433066161019855, 51.30015963980362)",94.81859506946057,,"[(11.4330312, 51.3002193), (11.4329903, 51.3001128), (11.4330763, 51.3000999), (11.4330831, 51.3001176), (11.4331099, 51.3001132), (11.4331183, 51.3001349), (11.4331441, 51.3002023), (11.4331022, 51.3002086), (11.4330312, 51.3002193)]",thueringen-houses_1
"(11.828760899999999, 50.831963800000004)",144.99037833837792,,"[(11.8286859, 50.8320263), (11.8288315, 50.8320283), (11.8288359, 50.8319013), (11.8286903, 50.8318993), (11.8286859, 50.8320263)]",thueringen-houses_2
"(11.434552840510435, 51.30004054238127)",62.65024915896356,,"[(11.4345915, 51.2999961), (11.4346299, 51.300056), (11.4345951, 51.300065), (11.4345822, 51.3000683), (11.4345138, 51.3000848), (11.4344758, 51.3000248), (11.4345915, 51.2999961)]",thueringen-houses_3
"(10.91537407603089, 51.2861247264038)",147.45776843238855,,"[(10.9152763, 51.2861723), (10.9152832, 51.286072), (10.9154688, 51.2860763), (10.9154691, 51.2860843), (10.9154672, 51.2861774), (10.9152763, 51.2861723)]",thueringen-houses_4
"(11.106080047581592, 50.96253440507507)",134.77479393407702,,"[(11.1059868, 50.9625822), (11.106047, 50.9625925), (11.1061221, 50.9626053), (11.1061733, 50.9624866), (11.106038, 50.9624635), (11.1059868, 50.9625822)]",thueringen-houses_5
"(11.105030161356511, 50.961977279377855)",135.1186048462987,,"[(11.1051454, 50.9619488), (11.104987, 50.9619101), (11.1049235, 50.9620131), (11.105056, 50.9620455), (11.1050867, 50.9619956), (11.1051127, 50.9620019), (11.1051454, 50.9619488)]",thueringen-houses_6
"(11.234184565873242, 50.61313444157344)",146.74792788922787,,"[(11.2342953, 50.6131879), (11.2341929, 50.6132226), (11.2340738, 50.613081), (11.2341763, 50.6130463), (11.2342953, 50.6131879)]",thueringen-houses_7
"(10.80500465, 50.75129465)",188.12898825109005,,"[(10.8048685, 50.7513223), (10.8049128, 50.7512253), (10.8051408, 50.751267), (10.8050965, 50.751364), (10.8048685, 50.7513223)]",thueringen-houses_8
"(10.665307900000006, 50.60033105)",617.3480066452175,,"[(10.664915, 50.6003426), (10.6656754, 50.60042), (10.6657008, 50.6003195), (10.6649404, 50.6002421), (10.664915, 50.6003426)]",thueringen-houses_9
"(11.135668768003454, 50.996333645514646)",60.16838760674,,"[(11.1357377, 50.9962976), (11.1356689, 50.9962774), (11.1356001, 50.9963703), (11.1356681, 50.9963898), (11.1357377, 50.9962976)]",thueringen-houses_10
"(12.0739335161759, 50.88640613757035)",333.6367236105725,,"[(12.0737004, 50.8864317), (12.0740278, 50.8864952), (12.0740762, 50.8864738), (12.0741101, 50.8863177), (12.0739844, 50.8863067), (12.073957, 50.8864125), (12.0738644, 50.8863937), (12.073876, 50.8863716), (12.0737383, 50.8863443), (12.0737004, 50.8864317)]",thueringen-houses_11
"(11.285337919530061, 50.68449842474198)",3157.5069815702736,,"[(11.2849744, 50.684224), (11.2858306, 50.6843096), (11.2857263, 50.6847286), (11.2853494, 50.6846909), (11.2853148, 50.6848301), (11.2850476, 50.6847632), (11.2850725, 50.6846632), (11.28487, 50.684643), (11.2849744, 50.684224)]",thueringen-houses_12
"(11.065127247997944, 50.98838034939087)",74.81473156064749,,"[(11.065046, 50.9884004), (11.0651568, 50.988432), (11.0651852, 50.9883926), (11.0652085, 50.9883603), (11.0651524, 50.9883443), (11.0650977, 50.9883287), (11.065046, 50.9884004)]",thueringen-houses_13
"(11.901944208185306, 50.852552602886696)",91.45810767111834,,"[(11.9018464, 50.8525893), (11.9020138, 50.8525917), (11.9020171, 50.8525007), (11.9019337, 50.8524995), (11.9019322, 50.852542), (11.9018481, 50.8525407), (11.9018464, 50.8525893)]",thueringen-houses_14
"(11.42760534622393, 51.29650824302082)",110.79650984529871,,"[(11.4276493, 51.2965593), (11.4275944, 51.2965586), (11.4275933, 51.2965432), (11.4275473, 51.2965425), (11.4275417, 51.2965299), (11.4274958, 51.2965299), (11.4274958, 51.2964886), (11.4275451, 51.2964886), (11.4275473, 51.2964662), (11.4275693, 51.2964662), (11.427693, 51.2964662), (11.427693, 51.2965425), (11.4276493, 51.2965446), (11.4276493, 51.2965593)]",thueringen-houses_15
"(10.913871518231634, 51.283829570099904)",112.44322602450848,,"[(10.913798, 51.2838829), (10.9137637, 51.2838093), (10.913945, 51.2837762), (10.9139793, 51.2838499), (10.913798, 51.2838829)]",thueringen-houses_16
"(11.080529386601405, 50.464665700705865)",145.90731479774695,,"[(11.0804251, 50.4647093), (11.080631, 50.4647118), (11.0806329, 50.4646469), (11.0806337, 50.4646221), (11.0804278, 50.4646196), (11.0804251, 50.4647093)]",thueringen-houses_17
"(10.989519497444704, 51.161471015969056)",108.8848668228602,,"[(10.9894595, 51.1615166), (10.9896038, 51.1615131), (10.9895986, 51.1614272), (10.9894304, 51.1614313), (10.9894345, 51.1614974), (10.9894583, 51.1614968), (10.9894595, 51.1615166)]",thueringen-houses_18
"(11.2600895, 50.6868452)",116.11189343035221,,"[(11.2599798, 50.6868648), (11.2601101, 50.6867742), (11.2601992, 50.6868256), (11.2600689, 50.6869162), (11.2599798, 50.6868648)]",thueringen-houses_19
"(11.657643150000002, 50.47421865)",107.96215648949146,,"[(11.6576255, 50.4742837), (11.6575403, 50.4742104), (11.6576608, 50.4741536), (11.657746, 50.4742269), (11.6576255, 50.4742837)]",thueringen-houses_20
"(11.297398114321169, 51.369757006258475)",135.99362273165025,,"[(11.2974149, 51.3696855), (11.2973096, 51.3697377), (11.2973189, 51.3697453), (11.2972729, 51.3697675), (11.2973239, 51.3698094), (11.2973699, 51.3697872), (11.297412, 51.3698217), (11.2975173, 51.3697695), (11.2974625, 51.3697245), (11.297466, 51.3697054), (11.2974351, 51.3697021), (11.2974149, 51.3696855)]",thueringen-houses_21
"(11.435842512779992, 51.30107615338759)",95.27778838202357,,"[(11.4357448, 51.3010602), (11.4357911, 51.3011303), (11.4358454, 51.301117), (11.4359401, 51.3010917), (11.4358938, 51.3010217), (11.4357448, 51.3010602)]",thueringen-houses_22
"(11.36388319419851, 51.005197523468595)",85.932985519059,along,"[(11.3637963, 51.0052232), (11.3639493, 51.0052413), (11.3639581, 51.0052121), (11.3639701, 51.0051719), (11.3638171, 51.0051537), (11.3637963, 51.0052232)]",thueringen-houses_23
"(10.656763351452952, 50.59961729284681)",106.01582081383094,,"[(10.6566862, 50.5996648), (10.656836, 50.5996601), (10.6568394, 50.5995685), (10.6567624, 50.5995726), (10.6566911, 50.5995745), (10.6566862, 50.5996648)]",thueringen-houses_24
"(11.403022445729928, 51.30698758253772)",100.54832432419062,,"[(11.4029245, 51.3069693), (11.4030055, 51.3070506), (11.4031204, 51.3070058), (11.4030394, 51.3069246), (11.4029245, 51.3069693)]",thueringen-houses_25
"(12.102781649999999, 50.87804925)",106.80548719968647,across,"[(12.1028576, 50.8780941), (12.1028488, 50.8779991), (12.1027057, 50.8780044), (12.1027145, 50.8780994), (12.1028576, 50.8780941)]",thueringen-houses_26
"(10.342486422399006, 50.96273587742415)",220.23146634921432,,"[(10.3424869, 50.9628302), (10.3426079, 50.9628179), (10.3425622, 50.9626574), (10.3423312, 50.9626867), (10.3423509, 50.9627599), (10.3424686, 50.9627479), (10.3424869, 50.9628302)]",thueringen-houses_27
"(10.99558442346667, 51.1622403446345)",94.12799716275185,,"[(10.9956456, 51.1621921), (10.9955102, 51.1622), (10.9955233, 51.1622886), (10.9956586, 51.1622807), (10.9956456, 51.1621921)]",thueringen-houses_28
"(10.435562, 50.82376365)",35.224522705189884,,"[(10.4356163, 50.8237465), (10.4355217, 50.823735), (10.4355077, 50.8237808), (10.4356023, 50.8237923), (10.4356163, 50.8237465)]",thueringen-houses_29
