center,area,orientation,poly,id,potential_output
"(11.72764048939234, 48.11425660236573)",2884.966466717422,False,"[(11.7272223, 48.1144978), (11.7273687, 48.1144678), (11.7273909, 48.1145163), (11.7280163, 48.1143883), (11.7279674, 48.1142816), (11.7281206, 48.1142503), (11.7281816, 48.1142651), (11.7280377, 48.113942), (11.7279397, 48.1140127), (11.7271174, 48.1141809), (11.7271818, 48.1143212), (11.7271448, 48.1143287), (11.7272223, 48.1144978)]",oberbayern-houses_0,238485.7529711957
"(12.917480202901304, 47.79616914078368)",1296.8058449272066,,"[(12.9172283, 47.7959339), (12.9174785, 47.7958717), (12.9175132, 47.796004), (12.9175709, 47.796131), (12.9176056, 47.7961855), (12.9177057, 47.7961622), (12.9177942, 47.7963152), (12.917433, 47.7964357), (12.9173307, 47.7962663), (12.9173554, 47.7962556), (12.9172283, 47.7959339)]",oberbayern-houses_729,189366.07350549533
"(11.582838400908516, 48.1627012946361)",909.2395337186754,,"[(11.5829085, 48.1624783), (11.5829827, 48.1627351), (11.5830269, 48.1628881), (11.5827666, 48.1629222), (11.5826506, 48.162516), (11.5829085, 48.1624783)]",oberbayern-houses_539,137783.88584089378
"(11.67132712088614, 48.05078271077867)",1663.8834340956528,False,"[(11.6710082, 48.0509931), (11.6710434, 48.0509326), (11.6712495, 48.0505782), (11.6712655, 48.0505508), (11.6712908, 48.0505072), (11.6713215, 48.0504542), (11.6714228, 48.0504804), (11.6714631, 48.0504909), (11.6714613, 48.0505709), (11.6716066, 48.0505723), (11.6715014, 48.050753), (11.6715882, 48.0507756), (11.6714592, 48.0509974), (11.6714199, 48.0509872), (11.6713805, 48.050977), (11.6713403, 48.0510461), (11.6712362, 48.0510191), (11.6712279, 48.0510333), (11.6712194, 48.051048), (11.6710082, 48.0509931)]",oberbayern-houses_40,137339.0185045478
"(11.700229778735313, 48.065002605021704)",736.8825958296002,,"[(11.699998, 48.0651194), (11.7000236, 48.0651194), (11.7000235, 48.0651343), (11.7001414, 48.0651343), (11.7001414, 48.0651162), (11.7001731, 48.0651162), (11.7001732, 48.0650479), (11.7002496, 48.0650479), (11.7002496, 48.0650583), (11.7002947, 48.0650583), (11.7002947, 48.0650969), (11.7004755, 48.0650969), (11.7004755, 48.0650184), (11.7004309, 48.0650184), (11.7004309, 48.065007), (11.700468, 48.065007), (11.7004681, 48.0649065), (11.7003042, 48.0649065), (11.7003042, 48.0649659), (11.7002738, 48.0649659), (11.7002738, 48.0648936), (11.7002854, 48.0648936), (11.7002854, 48.0648674), (11.7002126, 48.0648674), (11.7002125, 48.0648886), (11.7000561, 48.0648886), (11.7000561, 48.0649891), (11.7000937, 48.0649891), (11.7000936, 48.0650041), (11.6999595, 48.0650041), (11.6999595, 48.0650481), (11.6999981, 48.0650481), (11.699998, 48.0651194)]",oberbayern-houses_544,110587.65556912725
"(11.452116309417473, 48.10707043907211)",595.8286552913487,,"[(11.4519715, 48.1069051), (11.452137, 48.1069148), (11.4521189, 48.1070506), (11.4523606, 48.107065), (11.4523445, 48.1071851), (11.4519374, 48.107161), (11.4519715, 48.1069051)]",oberbayern-houses_19,90491.47702237358
"(11.683529485292548, 48.062403200794414)",593.2444398999214,,"[(11.6834903, 48.0622571), (11.6834062, 48.0623121), (11.6833569, 48.0622938), (11.68327, 48.0623765), (11.6836484, 48.0625545), (11.6836704, 48.0625313), (11.6836921, 48.0625365), (11.6837567, 48.062466), (11.6836998, 48.0624401), (11.6837406, 48.0624153), (11.6834903, 48.0622571)]",oberbayern-houses_179,89031.1593179807
"(11.7097088, 48.0589343)",583.6187762022018,,"[(11.7099171, 48.0590675), (11.7097452, 48.0591266), (11.7095005, 48.0588011), (11.7096724, 48.058742), (11.7099171, 48.0590675)]",oberbayern-houses_545,87455.27361389995
"(11.715318127679994, 48.03631305226684)",521.2425136622041,,"[(11.7155584, 48.0363625), (11.7151025, 48.0363995), (11.7150779, 48.0362636), (11.7155337, 48.0362266), (11.7155584, 48.0363625)]",oberbayern-houses_51,78049.55088949429
"(11.70353254885332, 47.881258176539404)",490.5144246071577,,"[(11.7032926, 47.8810603), (11.7033937, 47.8810208), (11.7037725, 47.881456), (11.7036713, 47.8814955), (11.7032926, 47.8810603)]",oberbayern-houses_763,73062.12354523613
"(11.692520907648912, 48.07222698989728)",477.6364887058735,,"[(11.6923617, 48.0723308), (11.6925327, 48.0723757), (11.6926113, 48.0722421), (11.692684, 48.0722612), (11.6927341, 48.0721761), (11.6924158, 48.0720925), (11.6923657, 48.0721776), (11.6924404, 48.0721972), (11.6923617, 48.0723308)]",oberbayern-houses_182,71735.03014751337
"(11.686491225422964, 48.06936823032895)",477.8664804175496,,"[(11.686252, 48.0693303), (11.6863642, 48.0692276), (11.6865721, 48.0693289), (11.6867304, 48.0694061), (11.6866182, 48.0695089), (11.686252, 48.0693303)]",oberbayern-houses_160,71715.81204866376
"(11.834406424892839, 48.38391488015049)",435.6912286771694,,"[(11.8342951, 48.3837969), (11.8345096, 48.3837914), (11.8345242, 48.3840304), (11.8342966, 48.3840361), (11.8342951, 48.3837969)]",oberbayern-houses_590,65631.43745985712
"(11.626831977348827, 48.17268490541681)",401.2177959363908,,"[(11.6267168, 48.1727844), (11.6267299, 48.1727774), (11.6266366, 48.1726994), (11.6269108, 48.1725534), (11.6270352, 48.1726574), (11.6269191, 48.1727192), (11.6268934, 48.1726977), (11.6268429, 48.1727246), (11.6268872, 48.1727615), (11.6267665, 48.1728258), (11.6267168, 48.1727844)]",oberbayern-houses_276,60754.404749667985
"(11.447147671080758, 48.81308154666388)",396.8750170581043,,"[(11.4470181, 48.8131795), (11.4469653, 48.8130319), (11.4472773, 48.8129836), (11.44733, 48.8131312), (11.4470181, 48.8131795)]",oberbayern-houses_910,58980.58847254752
"(12.857387708655628, 47.73875333801533)",398.893379223533,,"[(12.8575403, 47.7388456), (12.8575353, 47.7387553), (12.8574701, 47.7387569), (12.8574632, 47.7386325), (12.8572799, 47.7386372), (12.8572877, 47.7387778), (12.8572536, 47.7387786), (12.8572577, 47.7388527), (12.8575403, 47.7388456)]",oberbayern-houses_610,57306.02009270081
"(11.566196150000001, 48.276823900000004)",371.9146458208561,,"[(11.566143, 48.2769528), (11.5663876, 48.2767835), (11.5662493, 48.276695), (11.5660047, 48.2768643), (11.566143, 48.2769528)]",oberbayern-houses_724,56484.53683404252
"(11.446806600000002, 48.81349695)",375.8591423276812,,"[(11.4466815, 48.8135887), (11.4466576, 48.8134223), (11.4469317, 48.8134052), (11.4469556, 48.8135716), (11.4466815, 48.8135887)]",oberbayern-houses_488,55857.36678917252
